Series Description,FOMC
31/7/2001,3.82
1/8/2001,3.79
2/8/2001,3.68
3/8/2001,3.69
6/8/2001,3.73
7/8/2001,3.69
8/8/2001,3.75
9/8/2001,3.77
10/8/2001,3.70
13/8/2001,3.79
14/8/2001,3.76
15/8/2001,3.83
16/8/2001,3.75
17/8/2001,3.66
20/8/2001,3.64
21/8/2001,3.53
22/8/2001,3.51
23/8/2001,3.55
24/8/2001,3.51
27/8/2001,3.54
28/8/2001,3.50
29/8/2001,3.50
30/8/2001,3.58
31/8/2001,3.66
4/9/2001,3.67
5/9/2001,3.49
6/9/2001,3.52
7/9/2001,3.44
10/9/2001,3.50
13/9/2001,3.31
14/9/2001,3.13
17/9/2001,2.13
18/9/2001,1.25
19/9/2001,1.19
20/9/2001,2.22
21/9/2001,3.11
24/9/2001,3.31
25/9/2001,3.11
26/9/2001,2.96
27/9/2001,03.08
28/9/2001,2.75
1/10/2001,03.02
2/10/2001,2.35
3/10/2001,2.27
4/10/2001,2.45
5/10/2001,2.42
9/10/2001,2.50
10/10/2001,2.42
11/10/2001,2.42
12/10/2001,2.39
15/10/2001,2.51
16/10/2001,2.47
17/10/2001,2.51
18/10/2001,2.50
19/10/2001,2.47
22/10/2001,2.52
23/10/2001,2.48
24/10/2001,2.53
25/10/2001,2.54
26/10/2001,2.51
29/10/2001,2.55
30/10/2001,2.55
31/10/2001,2.66
1/11/2001,2.61
2/11/2001,2.43
5/11/2001,2.45
6/11/2001,2.13
7/11/2001,02.04
8/11/2001,02.03
9/11/2001,1.98
13/11/2001,2.10
14/11/2001,2.16
15/11/2001,2.22
16/11/2001,1.98
19/11/2001,02.01
20/11/2001,1.97
21/11/2001,1.93
23/11/2001,1.88
26/11/2001,02.04
27/11/2001,02.01
28/11/2001,02.04
29/11/2001,02.09
30/11/2001,02.06
3/12/2001,02.05
4/12/2001,1.93
5/12/2001,1.89
6/12/2001,1.87
7/12/2001,1.92
10/12/2001,1.90
11/12/2001,1.80
12/12/2001,1.81
13/12/2001,1.86
14/12/2001,1.88
17/12/2001,1.93
18/12/2001,1.71
19/12/2001,1.71
20/12/2001,1.79
21/12/2001,1.78
24/12/2001,1.68
26/12/2001,1.89
27/12/2001,1.85
28/12/2001,1.54
31/12/2001,1.52
2/1/2002,1.92
3/1/2002,1.72
4/1/2002,1.61
7/1/2002,1.61
8/1/2002,1.61
9/1/2002,1.74
10/1/2002,1.81
11/1/2002,1.71
14/1/2002,1.78
15/1/2002,1.75
16/1/2002,1.69
17/1/2002,1.68
18/1/2002,1.71
22/1/2002,1.84
23/1/2002,1.81
24/1/2002,1.80
25/1/2002,1.78
28/1/2002,1.79
29/1/2002,1.78
30/1/2002,1.78
31/1/2002,1.85
1/2/2002,1.77
4/2/2002,1.74
5/2/2002,1.64
6/2/2002,1.66
7/2/2002,1.74
8/2/2002,1.69
11/2/2002,1.76
12/2/2002,1.72
13/2/2002,1.75
14/2/2002,1.81
15/2/2002,1.73
19/2/2002,1.77
20/2/2002,1.76
21/2/2002,1.77
22/2/2002,1.71
25/2/2002,1.80
26/2/2002,1.77
27/2/2002,1.76
28/2/2002,1.83
1/3/2002,1.78
4/3/2002,1.68
5/3/2002,1.63
6/3/2002,1.71
7/3/2002,1.77
8/3/2002,1.69
11/3/2002,1.75
12/3/2002,1.68
13/3/2002,1.73
14/3/2002,1.79
15/3/2002,1.80
18/3/2002,1.71
19/3/2002,1.67
20/3/2002,1.78
21/3/2002,1.74
22/3/2002,1.68
25/3/2002,1.75
26/3/2002,1.71
27/3/2002,1.69
28/3/2002,1.77
1/4/2002,1.88
2/4/2002,1.74
3/4/2002,1.81
4/4/2002,1.74
5/4/2002,1.70
8/4/2002,1.72
9/4/2002,1.68
10/4/2002,1.73
11/4/2002,1.83
12/4/2002,1.79
15/4/2002,1.84
16/4/2002,1.68
17/4/2002,1.73
18/4/2002,1.71
19/4/2002,1.67
